Время [c],Напряжение[B]
0.6434,1.9634
0.6441,1.9583
0.6449,1.9482
0.6457,1.9482
0.6466,1.9583
0.6476,1.9583
0.6484,1.9532
0.6492,1.9583
0.6501,1.9634
0.6508,1.9583
0.6517,1.9532
0.6526,1.9532
0.6535,1.9583
0.6544,1.9532
0.6553,1.9532
0.6563,1.9583
0.6571,1.9583
0.6578,1.9583
0.6586,1.9583
0.6593,1.9532
0.6601,1.9482
0.6608,1.9532
0.6616,1.9532
0.6624,1.9532
0.6632,1.9583
0.6640,1.9532
0.6649,1.9583
0.6658,1.9583
0.6668,1.9583
0.6676,1.9532
0.6683,1.9583
0.6690,1.9583
0.6697,1.9583
0.6704,1.9532
0.6712,1.9482
0.6720,1.9532
0.6732,1.9482
0.6743,1.9532
0.6751,1.9532
0.6758,1.9532
0.6765,1.9532
0.6775,1.9532
0.6787,1.9532
0.6795,1.9532
0.6804,1.9482
0.6813,1.9482
0.6822,1.9532
0.6830,1.9532
0.6837,1.9532
0.6844,1.9482
0.6851,1.9583
0.6859,1.9583
0.6867,1.9532
0.6874,1.9532
0.6882,1.9532
0.6889,1.9482
0.6896,1.9482
0.6904,1.9532
0.6911,1.9532
0.6918,1.9532
0.6925,1.9532
0.6933,1.9532
0.6940,1.9482
0.6947,1.9583
0.6954,1.9532
0.6962,1.9532
0.6969,1.9532
0.6976,1.9482
0.6983,1.9532
0.6990,1.9482
0.6997,1.9482
0.7005,1.9482
0.7012,1.9532
0.7020,1.9532
0.7027,1.9532
0.7034,1.9532
0.7042,1.9532
0.7049,1.9532
0.7057,1.9532
0.7064,1.9532
0.7071,1.9482
0.7078,1.9532
0.7086,1.9583
0.7093,1.9532
0.7100,1.9532
0.7107,1.9532
0.7114,1.9532
0.7122,1.9532
0.7129,1.9482
0.7136,1.9482
0.7143,1.9482
0.7150,1.9532
0.7158,1.9532
0.7165,1.9482
0.7172,1.9532
0.7180,1.9532
0.7187,1.9482
0.7195,1.9532
0.7203,1.9482
0.7210,1.9532
0.7217,1.9532
0.7225,1.9532
0.7232,1.9482
0.7239,1.9482
0.7246,1.9482
0.7254,1.9482
0.7261,1.9482
0.7268,1.9532
0.7275,1.9532
0.7283,1.9532
0.7290,1.9532
0.7297,1.9482
0.7304,1.9482
0.7311,1.9532
0.7319,1.9532
0.7326,1.9482
0.7333,1.9482
0.7341,1.9482
0.7348,1.9482
0.7356,1.9532
0.7363,1.9482
0.7371,1.9482
0.7379,1.9482
0.7387,1.9482
0.7395,1.9532
0.7402,1.9532
0.7409,1.9532
0.7416,1.9532
0.7424,1.9482
0.7431,1.9482
0.7438,1.9482
0.7445,1.9532
0.7452,1.9532
0.7460,1.9482
0.7466,1.9482
0.7473,1.9532
0.7481,1.9532
0.7488,1.9532
0.7496,1.9482
0.7503,1.9482
0.7510,1.9532
0.7517,1.9532
0.7525,1.9532
0.7533,1.9431
0.7540,1.9532
0.7547,1.9532
0.7554,1.9482
0.7562,1.9431
0.7570,1.9532
0.7578,1.9532
0.7585,1.9532
0.7593,1.9482
0.7601,1.9482
0.7608,1.9532
0.7615,1.9532
0.7623,1.9482
0.7631,1.9482
0.7639,1.9532
0.7648,1.9532
0.7657,1.9431
0.7665,1.9431
0.7673,1.9482
0.7681,1.9482
0.7688,1.9482
0.7695,1.9532
0.7701,1.9532
0.7708,1.9482
0.7714,1.9482
0.7721,1.9482
0.7728,1.9482
0.7735,1.9482
0.7741,1.9482
0.7748,1.9482
0.7755,1.9380
0.7762,1.9532
0.7768,1.9482
0.7775,1.9482
0.7782,1.9431
0.7789,1.9532
0.7798,1.9482
0.7805,1.9431
0.7812,1.9482
0.7820,1.9431
0.7827,1.9482
0.7834,1.9482
0.7842,1.9482
0.7850,1.9482
0.7857,1.9431
0.7865,1.9431
0.7872,1.9482
0.7879,1.9482
0.7887,1.9431
0.7894,1.9431
0.7901,1.9482
0.7909,1.9431
0.7916,1.9431
0.7923,1.9431
0.7931,1.9431
0.7938,1.9431
0.7945,1.9482
0.7952,1.9482
0.7960,1.9431
0.7967,1.9431
0.7974,1.9431
0.7981,1.9482
0.7988,1.9482
0.7995,1.9482
0.8002,1.9482
0.8010,1.9431
0.8017,1.9482
0.8024,1.9482
0.8032,1.9482
0.8039,1.9482
0.8045,1.9431
0.8052,1.9431
0.8060,1.9431
0.8067,1.9431
0.8075,1.9482
0.8082,1.9431
0.8090,1.9431
0.8097,1.9431
0.8104,1.9380
0.8111,1.9431
0.8119,1.9380
0.8126,1.9482
0.8133,1.9380
0.8140,1.9482
0.8147,1.9431
0.8155,1.9482
0.8162,1.9431
0.8169,1.9431
0.8176,1.9431
0.8184,1.9431
0.8190,1.9431
0.8197,1.9431
0.8204,1.9431
0.8210,1.9482
0.8217,1.9380
0.8224,1.9431
0.8232,1.9380
0.8240,1.9431
0.8248,1.9431
0.8255,1.9431
0.8263,1.9431
0.8270,1.9431
0.8278,1.9380
0.8286,1.9380
0.8294,1.9431
0.8302,1.9431
0.8310,1.9431
0.8317,1.9431
0.8324,1.9431
0.8332,1.9482
0.8339,1.9380
0.8347,1.9431
0.8355,1.9431
0.8362,1.9380
0.8369,1.9431
0.8377,1.9380
0.8384,1.9431
0.8392,1.9431
0.8399,1.9431
0.8406,1.9431
0.8414,1.9431
0.8421,1.9431
0.8429,1.9380
0.8437,1.9431
0.8444,1.9431
0.8452,1.9380
0.8460,1.9431
0.8467,1.9431
0.8475,1.9431
0.8483,1.9431
0.8491,1.9431
0.8498,1.9380
0.8506,1.9380
0.8513,1.9431
0.8521,1.9431
0.8528,1.9329
0.8536,1.9380
0.8543,1.9431
0.8551,1.9329
0.8558,1.9380
0.8566,1.9380
0.8574,1.9431
0.8582,1.9380
0.8589,1.9380
0.8597,1.9380
0.8604,1.9380
0.8612,1.9380
0.8620,1.9380
0.8628,1.9329
0.8636,1.9431
0.8644,1.9329
0.8651,1.9380
0.8659,1.9431
0.8667,1.9431
0.8675,1.9380
0.8682,1.9431
0.8690,1.9329
0.8697,1.9431
0.8705,1.9431
0.8713,1.9431
0.8720,1.9380
0.8728,1.9431
0.8736,1.9431
0.8743,1.9329
0.8751,1.9431
0.8758,1.9431
0.8765,1.9380
0.8773,1.9380
0.8781,1.9431
0.8788,1.9431
0.8796,1.9380
0.8803,1.9431
0.8810,1.9279
0.8817,1.9279
0.8824,1.9380
0.8831,1.9380
0.8838,1.9329
0.8845,1.9380
0.8852,1.9431
0.8858,1.9431
0.8865,1.9380
0.8872,1.9431
0.8878,1.9380
0.8885,1.9329
0.8892,1.9380
0.8899,1.9329
