Время [c],Напряжение[B]
0.3442,1.9786
0.3449,1.9786
0.3457,1.9786
0.3465,1.9837
0.3472,1.9735
0.3481,1.9735
0.3488,1.9735
0.3494,1.9786
0.3501,1.9786
0.3507,1.9786
0.3514,1.9735
0.3521,1.9786
0.3529,1.9735
0.3536,1.9735
0.3542,1.9786
0.3549,1.9786
0.3557,1.9735
0.3564,1.9786
0.3571,1.9684
0.3578,1.9684
0.3588,1.9786
0.3596,1.9786
0.3605,1.9786
0.3613,1.9786
0.3622,1.9786
0.3629,1.9735
0.3636,1.9684
0.3644,1.9735
0.3651,1.9684
0.3658,1.9735
0.3665,1.9786
0.3672,1.9786
0.3680,1.9786
0.3687,1.9735
0.3695,1.9786
0.3703,1.9735
0.3710,1.9684
0.3717,1.9684
0.3725,1.9735
0.3732,1.9735
0.3740,1.9786
0.3747,1.9786
0.3755,1.9735
0.3762,1.9684
0.3770,1.9786
0.3778,1.9735
0.3784,1.9735
0.3792,1.9786
0.3800,1.9634
0.3807,1.9735
0.3814,1.9735
0.3822,1.9735
0.3830,1.9684
0.3837,1.9735
0.3845,1.9786
0.3852,1.9735
0.3860,1.9786
0.3867,1.9735
0.3874,1.9735
0.3881,1.9735
0.3888,1.9735
0.3895,1.9735
0.3901,1.9735
0.3908,1.9735
0.3915,1.9684
0.3921,1.9735
0.3928,1.9735
0.3934,1.9786
0.3941,1.9786
0.3948,1.9735
0.3954,1.9684
0.3961,1.9735
0.3967,1.9786
0.3974,1.9684
0.3981,1.9735
0.3987,1.9735
0.3994,1.9684
0.4000,1.9684
0.4007,1.9735
0.4013,1.9735
0.4020,1.9735
0.4027,1.9786
0.4033,1.9735
0.4040,1.9786
0.4047,1.9735
0.4054,1.9735
0.4061,1.9735
0.4068,1.9735
0.4075,1.9684
0.4082,1.9735
0.4089,1.9786
0.4096,1.9735
0.4103,1.9735
0.4110,1.9684
0.4117,1.9786
0.4124,1.9684
0.4131,1.9684
0.4138,1.9735
0.4145,1.9735
0.4152,1.9735
0.4159,1.9735
0.4166,1.9786
0.4173,1.9684
0.4180,1.9735
0.4187,1.9684
0.4194,1.9735
0.4201,1.9735
0.4208,1.9684
0.4215,1.9735
0.4222,1.9684
0.4229,1.9634
0.4236,1.9735
0.4244,1.9735
0.4251,1.9735
0.4258,1.9735
0.4264,1.9735
0.4272,1.9684
0.4279,1.9735
0.4286,1.9735
0.4293,1.9684
0.4300,1.9735
0.4307,1.9735
0.4313,1.9634
0.4320,1.9684
0.4326,1.9735
0.4333,1.9735
0.4340,1.9735
0.4346,1.9735
0.4353,1.9735
0.4359,1.9735
0.4365,1.9735
0.4372,1.9735
0.4378,1.9735
0.4385,1.9735
0.4391,1.9735
0.4398,1.9634
0.4404,1.9735
0.4410,1.9735
0.4417,1.9735
0.4423,1.9735
0.4430,1.9684
0.4437,1.9684
0.4444,1.9735
0.4451,1.9684
0.4458,1.9684
0.4465,1.9735
0.4472,1.9735
0.4479,1.9684
0.4486,1.9634
0.4493,1.9684
0.4500,1.9634
0.4507,1.9735
0.4514,1.9735
0.4521,1.9735
0.4528,1.9735
0.4535,1.9735
0.4542,1.9735
0.4549,1.9634
0.4556,1.9684
0.4563,1.9735
0.4570,1.9684
0.4577,1.9684
0.4585,1.9735
0.4592,1.9684
0.4599,1.9735
0.4606,1.9684
0.4615,1.9735
0.4621,1.9684
0.4628,1.9735
0.4635,1.9684
0.4642,1.9735
0.4649,1.9735
0.4656,1.9684
0.4664,1.9735
0.4672,1.9634
0.4679,1.9684
0.4687,1.9684
0.4694,1.9684
0.4702,1.9634
0.4709,1.9735
0.4716,1.9684
0.4723,1.9684
0.4730,1.9684
0.4737,1.9684
0.4745,1.9634
0.4752,1.9735
0.4760,1.9735
0.4768,1.9735
0.4775,1.9735
0.4782,1.9684
0.4789,1.9684
0.4797,1.9684
0.4804,1.9684
0.4812,1.9684
0.4820,1.9735
0.4828,1.9735
0.4835,1.9735
0.4842,1.9684
0.4850,1.9634
0.4858,1.9684
0.4865,1.9735
0.4873,1.9735
0.4880,1.9735
0.4888,1.9684
0.4895,1.9735
0.4903,1.9735
0.4910,1.9684
0.4917,1.9684
0.4924,1.9684
0.4930,1.9684
0.4937,1.9684
0.4944,1.9583
0.4951,1.9634
0.4959,1.9634
0.4966,1.9634
0.4973,1.9735
0.4980,1.9684
0.4987,1.9735
0.4994,1.9684
0.5001,1.9684
0.5008,1.9684
0.5015,1.9684
0.5022,1.9634
0.5028,1.9684
0.5035,1.9684
0.5042,1.9735
0.5049,1.9684
0.5056,1.9634
0.5064,1.9684
0.5071,1.9634
0.5078,1.9634
0.5085,1.9634
0.5092,1.9684
0.5099,1.9684
0.5106,1.9684
0.5113,1.9684
0.5120,1.9684
0.5127,1.9583
0.5134,1.9684
0.5141,1.9684
0.5148,1.9634
0.5155,1.9634
0.5162,1.9735
0.5169,1.9684
0.5176,1.9684
0.5183,1.9684
0.5190,1.9684
0.5197,1.9684
0.5203,1.9684
0.5210,1.9684
0.5217,1.9684
0.5224,1.9735
0.5231,1.9684
0.5238,1.9684
0.5246,1.9684
0.5253,1.9684
0.5259,1.9684
0.5266,1.9583
0.5273,1.9634
0.5281,1.9684
0.5288,1.9684
0.5295,1.9634
0.5302,1.9634
0.5309,1.9634
0.5316,1.9684
0.5323,1.9684
0.5330,1.9684
0.5337,1.9684
0.5344,1.9735
0.5351,1.9634
0.5359,1.9634
0.5366,1.9684
0.5373,1.9634
0.5380,1.9583
0.5387,1.9634
0.5394,1.9684
0.5401,1.9634
0.5408,1.9634
0.5415,1.9684
0.5422,1.9684
0.5430,1.9634
0.5437,1.9583
