Время [c],Напряжение[B]
0.4206,0.4870
0.4215,0.4820
0.4222,0.4870
0.4231,0.4870
0.4239,0.4820
0.4248,0.4870
0.4255,0.4921
0.4263,0.4820
0.4270,0.4820
0.4278,0.4870
0.4284,0.4820
0.4292,0.4870
0.4299,0.4820
0.4305,0.4870
0.4313,0.4820
0.4320,0.4870
0.4328,0.4870
0.4336,0.4820
0.4344,0.4870
0.4350,0.4870
0.4358,0.4820
0.4364,0.4870
0.4371,0.4820
0.4379,0.4870
0.4386,0.4870
0.4394,0.4870
0.4400,0.4820
0.4407,0.4820
0.4414,0.4769
0.4421,0.4820
0.4429,0.4820
0.4436,0.4921
0.4442,0.4870
0.4449,0.4820
0.4456,0.4820
0.4463,0.4870
0.4470,0.4870
0.4476,0.4921
0.4486,0.4870
0.4497,0.4820
0.4507,0.4820
0.4515,0.4820
0.4524,0.4820
0.4532,0.4870
0.4540,0.4820
0.4549,0.4870
0.4557,0.4870
0.4565,0.4870
0.4573,0.4820
0.4582,0.4820
0.4591,0.4870
0.4599,0.4870
0.4608,0.4820
0.4617,0.4820
0.4624,0.4820
0.4631,0.4870
0.4638,0.4870
0.4645,0.4870
0.4651,0.4870
0.4658,0.4820
0.4665,0.4870
0.4671,0.4870
0.4679,0.4820
0.4687,0.4820
0.4694,0.4820
0.4700,0.4870
0.4707,0.4820
0.4714,0.4870
0.4721,0.4870
0.4728,0.4820
0.4735,0.4820
0.4742,0.4820
0.4749,0.4870
0.4756,0.4870
0.4763,0.4870
0.4770,0.4870
0.4777,0.4820
0.4784,0.4870
0.4791,0.4820
0.4798,0.4921
0.4805,0.4870
0.4812,0.4870
0.4818,0.4769
0.4826,0.4870
0.4833,0.4870
0.4839,0.4870
0.4846,0.4820
0.4853,0.4870
0.4860,0.4820
0.4867,0.4870
0.4874,0.4870
0.4881,0.4820
0.4888,0.4820
0.4895,0.4820
0.4902,0.4820
0.4909,0.4870
0.4916,0.4820
0.4923,0.4870
0.4930,0.4820
0.4937,0.4820
0.4943,0.4870
0.4950,0.4820
0.4957,0.4921
0.4964,0.4870
0.4972,0.4870
0.4979,0.4820
0.4986,0.4921
0.4992,0.4820
0.4999,0.4820
0.5006,0.4870
0.5013,0.4870
0.5020,0.4870
0.5027,0.4820
0.5034,0.4870
0.5040,0.4820
0.5047,0.4870
0.5054,0.4820
0.5061,0.4820
0.5068,0.4820
0.5075,0.4870
0.5082,0.4820
0.5089,0.4870
0.5096,0.4820
0.5102,0.4820
0.5109,0.4820
0.5116,0.4870
0.5123,0.4870
0.5130,0.4870
0.5137,0.4870
0.5144,0.4820
0.5150,0.4870
0.5157,0.4870
0.5164,0.4820
0.5171,0.4820
0.5178,0.4820
0.5185,0.4870
0.5192,0.4870
0.5199,0.4820
0.5206,0.4870
0.5213,0.4870
0.5219,0.4870
0.5226,0.4870
0.5233,0.4820
0.5240,0.4820
0.5247,0.4870
0.5253,0.4820
0.5260,0.4870
0.5267,0.4870
0.5274,0.4870
0.5281,0.4820
0.5287,0.4820
0.5295,0.4870
0.5301,0.4870
0.5308,0.4820
0.5316,0.4870
0.5323,0.4870
0.5329,0.4820
0.5336,0.4820
0.5343,0.4870
0.5350,0.4870
0.5357,0.4820
0.5365,0.4820
0.5371,0.4820
0.5379,0.4820
0.5386,0.4820
0.5392,0.4820
0.5399,0.4870
0.5406,0.4820
0.5413,0.4870
0.5420,0.4870
0.5427,0.4870
0.5433,0.4820
0.5440,0.4870
0.5447,0.4870
0.5454,0.4820
0.5462,0.4921
0.5469,0.4870
0.5476,0.4820
0.5483,0.4870
0.5489,0.4820
0.5496,0.4870
0.5503,0.4820
0.5511,0.4820
0.5518,0.4870
0.5525,0.4870
0.5532,0.4870
0.5539,0.4820
0.5546,0.4870
0.5553,0.4820
0.5560,0.4820
0.5568,0.4820
0.5574,0.4870
0.5582,0.4870
0.5589,0.4870
0.5596,0.4820
0.5603,0.4921
0.5609,0.4870
0.5617,0.4870
0.5624,0.4820
0.5632,0.4820
0.5638,0.4820
0.5645,0.4820
0.5653,0.4820
0.5660,0.4820
0.5668,0.4870
0.5674,0.4870
0.5682,0.4820
0.5689,0.4870
0.5696,0.4870
0.5703,0.4820
0.5709,0.4820
0.5717,0.4820
0.5725,0.4870
0.5732,0.4870
0.5739,0.4870
0.5746,0.4820
0.5754,0.4820
0.5761,0.4820
0.5768,0.4870
0.5775,0.4820
0.5782,0.4870
0.5789,0.4820
0.5796,0.4870
0.5803,0.4921
0.5809,0.4870
0.5816,0.4820
0.5823,0.4820
0.5830,0.4820
0.5837,0.4870
0.5844,0.4870
0.5850,0.4870
0.5857,0.4820
0.5863,0.4870
0.5870,0.4820
0.5876,0.4820
0.5883,0.4820
0.5889,0.4820
0.5896,0.4870
0.5903,0.4870
0.5910,0.4870
0.5916,0.4820
0.5924,0.4870
0.5931,0.4820
0.5938,0.4820
0.5944,0.4820
0.5950,0.4870
0.5955,0.4870
0.5961,0.4870
0.5967,0.4820
0.5972,0.4870
0.5979,0.4870
0.5985,0.4870
0.5990,0.4820
0.5996,0.4870
0.6001,0.4870
0.6007,0.4870
0.6012,0.4820
0.6018,0.4820
0.6023,0.4820
0.6029,0.4870
0.6035,0.4870
0.6041,0.4870
0.6047,0.4870
0.6053,0.4870
0.6060,0.4870
0.6067,0.4820
0.6074,0.4870
0.6081,0.4870
0.6088,0.4870
0.6095,0.4870
0.6102,0.4921
0.6108,0.4820
0.6115,0.4870
0.6122,0.4870
0.6129,0.4820
0.6136,0.4820
0.6143,0.4870
0.6150,0.4870
0.6157,0.4870
0.6164,0.4820
0.6172,0.4870
0.6179,0.4820
0.6185,0.4870
0.6192,0.4820
0.6199,0.4820
0.6206,0.4820
0.6213,0.4921
0.6219,0.4870
0.6226,0.4820
0.6233,0.4870
0.6240,0.4820
0.6246,0.4820
0.6253,0.4870
0.6260,0.4820
0.6266,0.4870
0.6273,0.4870
0.6280,0.4769
0.6286,0.4820
0.6294,0.4820
0.6301,0.4820
0.6308,0.4870
0.6315,0.4921
0.6322,0.4870
0.6328,0.4820
0.6335,0.4921
0.6342,0.4870
0.6350,0.4820
0.6356,0.4870
0.6363,0.4870
0.6369,0.4870
0.6376,0.4820
0.6383,0.4870
0.6389,0.4870
0.6396,0.4870
0.6403,0.4921
0.6410,0.4870
0.6417,0.4870
0.6423,0.4870
0.6430,0.4870
0.6437,0.4870
0.6444,0.4921
0.6451,0.4921
0.6458,0.4870
0.6464,0.4870
0.6471,0.4870
0.6477,0.4870
0.6484,0.4921
0.6491,0.4921
0.6497,0.4921
0.6504,0.4921
0.6510,0.4870
0.6517,0.4921
0.6523,0.4972
0.6529,0.4972
0.6536,0.4972
0.6543,0.4921
0.6550,0.4972
0.6556,0.4972
0.6563,0.5073
0.6569,0.5073
0.6576,0.5073
0.6583,0.5023
0.6589,0.5073
0.6596,0.5023
0.6602,0.5023
0.6609,0.5023
0.6615,0.5073
0.6622,0.5073
0.6629,0.5073
0.6636,0.5073
0.6643,0.5124
0.6651,0.5124
0.6658,0.5073
0.6665,0.5175
0.6671,0.5124
0.6678,0.5175
0.6684,0.5175
0.6690,0.5175
0.6697,0.5226
0.6704,0.5226
0.6711,0.5276
0.6717,0.5175
0.6724,0.5226
0.6731,0.5276
0.6737,0.5226
0.6744,0.5276
0.6750,0.5276
0.6757,0.5276
0.6764,0.5226
0.6770,0.5327
0.6777,0.5327
0.6784,0.5276
0.6790,0.5327
0.6797,0.5327
0.6803,0.5327
0.6810,0.5428
0.6817,0.5428
0.6824,0.5428
0.6831,0.5378
0.6839,0.5479
0.6845,0.5428
0.6852,0.5479
0.6858,0.5428
0.6865,0.5479
0.6872,0.5428
0.6879,0.5479
0.6886,0.5581
0.6893,0.5530
0.6899,0.5530
0.6906,0.5530
0.6913,0.5530
0.6919,0.5581
0.6926,0.5581
0.6934,0.5581
0.6942,0.5631
0.6950,0.5631
0.6957,0.5631
0.6964,0.5631
0.6972,0.5733
0.6980,0.5733
0.6989,0.5733
0.6996,0.5682
0.7004,0.5733
0.7011,0.5733
0.7018,0.5784
0.7028,0.5784
0.7037,0.5784
0.7044,0.5784
