Время [c],Напряжение[B]
0.3919,0.1877
0.3926,0.1877
0.3933,0.1928
0.3940,0.1826
0.3947,0.1877
0.3954,0.1826
0.3961,0.1826
0.3968,0.1826
0.3975,0.1877
0.3982,0.1877
0.3989,0.1826
0.3996,0.1826
0.4003,0.1826
0.4011,0.1877
0.4018,0.1826
0.4025,0.1877
0.4032,0.1877
0.4039,0.1877
0.4046,0.1826
0.4053,0.1877
0.4060,0.1877
0.4067,0.1877
0.4074,0.1826
0.4081,0.1928
0.4087,0.1826
0.4094,0.1877
0.4100,0.1877
0.4106,0.1877
0.4113,0.1877
0.4120,0.1877
0.4128,0.1826
0.4135,0.1877
0.4142,0.1826
0.4149,0.1877
0.4156,0.1826
0.4163,0.1826
0.4170,0.1826
0.4177,0.1877
0.4184,0.1826
0.4192,0.1877
0.4199,0.1877
0.4206,0.1877
0.4213,0.1877
0.4220,0.1928
0.4227,0.1826
0.4235,0.1826
0.4242,0.1877
0.4249,0.1877
0.4256,0.1928
0.4263,0.1826
0.4270,0.1877
0.4277,0.1826
0.4285,0.1877
0.4292,0.1877
0.4300,0.1826
0.4307,0.1877
0.4314,0.1928
0.4321,0.1826
0.4328,0.1877
0.4335,0.1877
0.4342,0.1826
0.4350,0.1826
0.4357,0.1877
0.4364,0.1826
0.4372,0.1826
0.4379,0.1826
0.4386,0.1826
0.4393,0.1877
0.4401,0.1877
0.4409,0.1826
0.4417,0.1776
0.4424,0.1877
0.4432,0.1877
0.4439,0.1928
0.4447,0.1877
0.4454,0.1877
0.4462,0.1826
0.4470,0.1826
0.4478,0.1826
0.4486,0.1877
0.4493,0.1877
0.4501,0.1928
0.4510,0.1877
0.4517,0.1826
0.4526,0.1826
0.4534,0.1826
0.4542,0.1877
0.4550,0.1877
0.4559,0.1877
0.4566,0.1826
0.4574,0.1826
0.4582,0.1826
0.4590,0.1877
0.4598,0.1826
0.4606,0.1826
0.4614,0.1826
0.4621,0.1877
0.4629,0.1826
0.4637,0.1826
0.4645,0.1826
0.4653,0.1776
0.4660,0.1877
0.4667,0.1877
0.4675,0.1877
0.4682,0.1826
0.4690,0.1826
0.4697,0.1928
0.4704,0.1877
0.4711,0.1826
0.4718,0.1826
0.4725,0.1877
0.4732,0.1776
0.4739,0.1826
0.4748,0.1877
0.4755,0.1826
0.4762,0.1877
0.4768,0.1826
0.4775,0.1826
0.4782,0.1877
0.4790,0.1826
0.4797,0.1776
